episode_idx,step,scene_name,slit_slot,x,y,z,local_x,local_y,local_z,power,exposure,gain,goal_dist,min_margin,clearance,scene_effect_mean,method,method_label,checkpoint,event
0,0,glare,far_right,-0.22608621418476105,-1.4828637838363647,1.5,-1.5,1.4901161193847656e-08,1.5,0.3676203489303589,0.28489530086517334,0.3353572487831116,3.0,1.2799999713897705,1.2799999713897705,0.3421717882156372,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,1,glare,far_right,-0.22608621418476105,-1.4828637838363647,1.5,-1.5,1.4901161193847656e-08,1.5,0.3676203489303589,0.28489530086517334,0.3353572487831116,3.0,1.2799999713897705,1.2799999713897705,0.3421717882156372,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,2,glare,far_right,-0.22620970010757446,-1.4830517768859863,1.500096321105957,-1.5002044439315796,9.37432050704956e-05,1.500096321105957,0.3676203489303589,0.28489530086517334,0.3353572487831116,3.000204563140869,1.2802042961120605,1.2802042961120605,0.3421306014060974,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,3,glare,far_right,-0.22631734609603882,-1.4831899404525757,1.5003015995025635,-1.5003572702407837,0.0001793503761291504,1.5003015995025635,0.3676203489303589,0.28489530086517334,0.3353572487831116,3.0003573894500732,1.279692530632019,1.279692530632019,0.3433597981929779,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,4,glare,far_right,-0.22672082483768463,-1.481554627418518,1.5015305280685425,-1.4988014698028564,0.0008246898651123047,1.5015305280685425,0.3676203489303589,0.28489530086517334,0.3353572487831116,2.9988019466400146,1.2758851051330566,1.2758851051330566,0.3438516855239868,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,5,glare,far_right,-0.22749733924865723,-1.4767776727676392,1.503766655921936,-1.4941961765289307,0.0023123323917388916,1.503766655921936,0.3676203489303589,0.28489530086517334,0.3353572487831116,2.994199275970459,1.2677687406539917,1.2677687406539917,0.3447095453739166,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,6,glare,far_right,-0.22897575795650482,-1.465765118598938,1.5073879957199097,-1.483532190322876,0.005433708429336548,1.5073879957199097,0.3676203489303589,0.28489530086517334,0.3353572487831116,2.983546257019043,1.2516018152236938,1.2516018152236938,0.34670737385749817,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,7,glare,far_right,-0.23098699748516083,-1.4501129388809204,1.511047601699829,-1.4683619737625122,0.00978115200996399,1.511047601699829,0.3676203489303589,0.28489530086517334,0.3353572487831116,2.9683985710144043,1.2307652235031128,1.2307652235031128,0.34973689913749695,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,8,glare,far_right,-0.23512974381446838,-1.4206916093826294,1.516305923461914,-1.4399012327194214,0.018311068415641785,1.516305923461914,0.3676203489303589,0.28489530086517334,0.3353572487831116,2.9400033950805664,1.1944546699523926,1.1944546699523926,0.35571175813674927,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
0,9,glare,far_right,-0.24015092849731445,-1.3871660232543945,1.5204390287399292,-1.4075154066085815,0.028328001499176025,1.5204390287399292,0.3676203489303589,0.28489530086517334,0.3353572487831116,2.9077253341674805,1.155378818511963,1.155378818511963,0.36228886246681213,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth,
