Step,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - collision_rate,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - collision_rate__MIN,cam-flight_only-learned_grad-detached_depth-depth_20260510_024509 - collision_rate__MAX,cam-fixed_grad-detached_depth-zero_20260509_164843 - collision_rate,cam-fixed_grad-detached_depth-zero_20260509_164843 - collision_rate__MIN,cam-fixed_grad-detached_depth-zero_20260509_164843 - collision_rate__MAX,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - collision_rate,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - collision_rate__MIN,cam-fixed_random_static_grad-detached_depth-depth_20260509_163917 - collision_rate__MAX,cam-learned_grad-detached_depth-depth_20260509_154546 - collision_rate,cam-learned_grad-detached_depth-depth_20260509_154546 - collision_rate__MIN,cam-learned_grad-detached_depth-depth_20260509_154546 - collision_rate__MAX,cam-fixed_grad-detached_depth-depth_20260509_154520 - collision_rate,cam-fixed_grad-detached_depth-depth_20260509_154520 - collision_rate__MIN,cam-fixed_grad-detached_depth-depth_20260509_154520 - collision_rate__MAX,cam-learned_grad-full_depth-depth_20260509_154244 - collision_rate,cam-learned_grad-full_depth-depth_20260509_154244 - collision_rate__MIN,cam-learned_grad-full_depth-depth_20260509_154244 - collision_rate__MAX
25,0.8512500214576721,0.8512500214576721,0.8512500214576721,0.17958333786576985,0.17958333786576985,0.17958333786576985,0.1912500047683716,0.1912500047683716,0.1912500047683716,0.1858333383873105,0.1858333383873105,0.1858333383873105,0.18791667092591524,0.18791667092591524,0.18791667092591524,0.1858333383873105,0.1858333383873105,0.1858333383873105
50,0.6450000166893005,0.6450000166893005,0.6450000166893005,0.8087500166893006,0.8087500166893006,0.8087500166893006,0.8075000143051148,0.8075000143051148,0.8075000143051148,0.8050000143051147,0.8050000143051147,0.8050000143051147,0.8100000166893006,0.8100000166893006,0.8100000166893006,0.80541668176651,0.80541668176651,0.80541668176651
75,0.5858333480358123,0.5858333480358123,0.5858333480358123,0.9870833492279053,0.9870833492279053,0.9870833492279053,0.9862500238418579,0.9862500238418579,0.9862500238418579,0.9837500190734864,0.9837500190734864,0.9837500190734864,0.9820833539962769,0.9820833539962769,0.9820833539962769,0.9854166841506958,0.9854166841506958,0.9854166841506958
100,0.575833351612091,0.575833351612091,0.575833351612091,0.9866666889190674,0.9866666889190674,0.9866666889190674,0.9912500143051147,0.9912500143051147,0.9912500143051147,0.9887500143051148,0.9887500143051148,0.9887500143051148,0.986666693687439,0.986666693687439,0.986666693687439,0.9850000190734863,0.9850000190734863,0.9850000190734863
125,0.4912500166893005,0.4912500166893005,0.4912500166893005,0.9841666865348816,0.9841666865348816,0.9841666865348816,0.9862500166893006,0.9862500166893006,0.9862500166893006,0.9758333516120911,0.9758333516120911,0.9758333516120911,0.9791666913032532,0.9791666913032532,0.9791666913032532,0.9787500190734864,0.9787500190734864,0.9787500190734864
150,0.5216666841506958,0.5216666841506958,0.5216666841506958,0.9816666793823242,0.9816666793823242,0.9816666793823242,0.9800000214576721,0.9800000214576721,0.9800000214576721,0.9641666913032532,0.9641666913032532,0.9641666913032532,0.9704166889190674,0.9704166889190674,0.9704166889190674,0.9695833563804627,0.9695833563804627,0.9695833563804627
175,0.5470833516120911,0.5470833516120911,0.5470833516120911,0.9737500190734864,0.9737500190734864,0.9737500190734864,0.9716666889190674,0.9716666889190674,0.9716666889190674,0.965833351612091,0.965833351612091,0.965833351612091,0.9575000166893005,0.9575000166893005,0.9575000166893005,0.9637500143051148,0.9637500143051148,0.9637500143051148
200,0.5191666841506958,0.5191666841506958,0.5191666841506958,0.9737500190734864,0.9737500190734864,0.9737500190734864,0.9645833516120911,0.9645833516120911,0.9645833516120911,0.9454166865348816,0.9454166865348816,0.9454166865348816,0.9475000214576721,0.9475000214576721,0.9475000214576721,0.9433333516120911,0.9433333516120911,0.9433333516120911
225,0.5225000154972076,0.5225000154972076,0.5225000154972076,0.9691666865348816,0.9691666865348816,0.9691666865348816,0.9391666889190674,0.9391666889190674,0.9391666889190674,0.9191666889190674,0.9191666889190674,0.9191666889190674,0.9254166889190674,0.9254166889190674,0.9254166889190674,0.9216666865348816,0.9216666865348816,0.9216666865348816
250,0.4687500154972076,0.4687500154972076,0.4687500154972076,0.9666666889190674,0.9666666889190674,0.9666666889190674,0.9183333563804627,0.9183333563804627,0.9183333563804627,0.9104166936874389,0.9104166936874389,0.9104166936874389,0.9120833516120911,0.9120833516120911,0.9120833516120911,0.9137500262260437,0.9137500262260437,0.9137500262260437
275,0.5245833492279053,0.5245833492279053,0.5245833492279053,0.9775000238418579,0.9775000238418579,0.9775000238418579,0.9041666865348816,0.9041666865348816,0.9041666865348816,0.9012500190734863,0.9012500190734863,0.9012500190734863,0.9070833516120911,0.9070833516120911,0.9070833516120911,0.9129166889190674,0.9129166889190674,0.9129166889190674
