scene_name,success_rate,collision_rate,goal_reach_rate,final_goal_dist,avg_speed,fill_rate,slit_slot,power_mean,exposure_mean,gain_mean,steps,stop_reason,episode_idx,method,method_label,checkpoint
glare,1.0,0.0,1.0,0.16016076505184174,0.5815132260322571,0.7759742140769958,left,0.5,0.5,0.5,60,timeout,29,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7561500072479248,0.675800085067749,0.5211689472198486,far_right,0.5,0.5,0.5,26,collision,30,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.17961466312408447,0.6239696741104126,0.7744093537330627,far_left,0.5,0.5,0.5,60,timeout,31,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.186005100607872,0.5665761232376099,0.7876157760620117,left,0.5,0.5,0.5,60,timeout,32,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.11204175651073456,0.5955312848091125,0.7774860858917236,left,0.5,0.5,0.5,60,timeout,33,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.5484806299209595,0.7495177984237671,0.4676227271556854,far_left,0.5,0.5,0.5,25,collision,34,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1614226996898651,0.6269205212593079,0.7562789916992188,far_left,0.5,0.5,0.5,60,timeout,35,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.20687921345233917,0.5915583372116089,0.7664472460746765,far_right,0.5,0.5,0.5,60,timeout,36,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.8298718929290771,0.6393037438392639,0.5442708730697632,far_left,0.5,0.5,0.5,25,collision,37,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1839440017938614,0.6202763915061951,0.7578391432762146,far_right,0.5,0.5,0.5,60,timeout,38,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.13635116815567017,0.5997515916824341,0.7604432106018066,far_left,0.5,0.5,0.5,60,timeout,39,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.15078574419021606,0.6441071033477783,0.7584105730056763,far_right,0.5,0.5,0.5,60,timeout,40,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7544491291046143,0.6779240369796753,0.522355318069458,far_left,0.5,0.5,0.5,26,collision,41,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1536635458469391,0.5834663510322571,0.7858651876449585,right,0.5,0.5,0.5,60,timeout,42,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.11144153028726578,0.5895349383354187,0.7796441316604614,left,0.5,0.5,0.5,60,timeout,43,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1777532398700714,0.6340391635894775,0.7674213647842407,far_right,0.5,0.5,0.5,60,timeout,44,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.13704325258731842,0.6341021656990051,0.7619888782501221,far_right,0.5,0.5,0.5,60,timeout,45,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.09956729412078857,0.6048720479011536,0.773459255695343,right,0.5,0.5,0.5,60,timeout,46,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1963101029396057,0.6305915117263794,0.7609423995018005,far_right,0.5,0.5,0.5,60,timeout,47,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.736202597618103,0.6910329461097717,0.5028872489929199,far_left,0.5,0.5,0.5,24,collision,48,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.18889674544334412,0.5835610032081604,0.785508394241333,right,0.5,0.5,0.5,60,timeout,49,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.14477477967739105,0.6038073301315308,0.7821928262710571,far_left,0.5,0.5,0.5,60,timeout,50,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.14277583360671997,0.638983964920044,0.7433907389640808,far_right,0.5,0.5,0.5,60,timeout,51,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7709819078445435,0.6590362787246704,0.5064432621002197,far_right,0.5,0.5,0.5,29,collision,52,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.5755099058151245,0.7025614976882935,0.474649578332901,far_left,0.5,0.5,0.5,28,collision,53,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.6554454565048218,0.6942142844200134,0.501742422580719,left,0.5,0.5,0.5,24,collision,54,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.09899751096963882,0.6247097849845886,0.778431236743927,far_right,0.5,0.5,0.5,60,timeout,55,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1590273380279541,0.5840266942977905,0.775033712387085,left,0.5,0.5,0.5,60,timeout,56,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.16174164414405823,0.6053802967071533,0.7686921954154968,right,0.5,0.5,0.5,60,timeout,57,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.6017664670944214,0.6876740455627441,0.485014945268631,far_right,0.5,0.5,0.5,27,collision,58,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.710273027420044,0.6702558994293213,0.5016669631004333,left,0.5,0.5,0.5,24,collision,59,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.20841625332832336,0.5743669867515564,0.7774161696434021,left,0.5,0.5,0.5,60,timeout,60,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7978661060333252,0.6837019920349121,0.5680278539657593,far_left,0.5,0.5,0.5,25,collision,61,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.22647172212600708,0.6181628108024597,0.7588638663291931,far_left,0.5,0.5,0.5,60,timeout,62,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.18109743297100067,0.5828336477279663,0.7832995653152466,right,0.5,0.5,0.5,60,timeout,63,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.16182903945446014,0.6003113985061646,0.766374945640564,far_right,0.5,0.5,0.5,60,timeout,64,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.2271808236837387,0.5609142780303955,0.7861256003379822,left,0.5,0.5,0.5,60,timeout,65,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.14821116626262665,0.6104778051376343,0.7759284377098083,far_left,0.5,0.5,0.5,60,timeout,66,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
glare,1.0,0.0,1.0,0.18177641928195953,0.606345534324646,0.7514322400093079,far_right,0.5,0.5,0.5,60,timeout,67,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth
