episode_idx,step,scene_name,slit_slot,x,y,z,local_x,local_y,local_z,power,exposure,gain,goal_dist,min_margin,clearance,scene_effect_mean,method,method_label,checkpoint,event
0,0,glare,far_right,-0.22608621418476105,-1.4828637838363647,1.5,-1.5,1.4901161193847656e-08,1.5,0.5,0.5,0.5,3.0,1.2799999713897705,1.2799999713897705,0.35152775049209595,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,1,glare,far_right,-0.22608621418476105,-1.4828637838363647,1.5,-1.5,1.4901161193847656e-08,1.5,0.5,0.5,0.5,3.0,1.2799999713897705,1.2799999713897705,0.35152775049209595,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,2,glare,far_right,-0.2261018604040146,-1.4830609560012817,1.5001150369644165,-1.5001972913742065,-1.424551010131836e-05,1.5001150369644165,0.5,0.5,0.5,3.000197410583496,1.280197262763977,1.280197262763977,0.351480633020401,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,3,glare,far_right,-0.22651806473731995,-1.4834575653076172,1.5001850128173828,-1.5006521940231323,0.0003374367952346802,1.5001850128173828,0.5,0.5,0.5,3.000652313232422,1.2800674438476562,1.2800674438476562,0.3524520993232727,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,4,glare,far_right,-0.22733493149280548,-1.4815813302993774,1.5012117624282837,-1.4989204406738281,0.0014277398586273193,1.5012117624282837,0.5,0.5,0.5,2.9989211559295654,1.275875449180603,1.275875449180603,0.3531412184238434,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,5,glare,far_right,-0.228582501411438,-1.476091980934143,1.503182053565979,-1.493681788444519,0.0034884512424468994,1.503182053565979,0.5,0.5,0.5,2.993685483932495,1.2668389081954956,1.2668389081954956,0.3542709946632385,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,6,glare,far_right,-0.23065128922462463,-1.4633855819702148,1.5062251091003418,-1.4814324378967285,0.007448762655258179,1.5062251091003418,0.5,0.5,0.5,2.981448173522949,1.2489293813705444,1.2489293813705444,0.35676267743110657,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,7,glare,far_right,-0.233396515250206,-1.445668339729309,1.5091536045074463,-1.4643313884735107,0.012833043932914734,1.5091536045074463,0.5,0.5,0.5,2.9643733501434326,1.2261536121368408,1.2261536121368408,0.36020568013191223,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,8,glare,far_right,-0.23824524879455566,-1.4134457111358643,1.5131115913391113,-1.433207631111145,0.022483110427856445,1.5131115913391113,0.5,0.5,0.5,2.9333229064941406,1.1872258186340332,1.1872258186340332,0.36668649315834045,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,9,glare,far_right,-0.24363063275814056,-1.3765740394592285,1.516431450843811,-1.3975688219070435,0.03336441516876221,1.516431450843811,0.5,0.5,0.5,2.8978075981140137,1.1446068286895752,1.1446068286895752,0.3738129138946533,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,10,glare,far_right,-0.2512553036212921,-1.3245148658752441,1.5198172330856323,-1.347253680229187,0.04874856770038605,1.5198172330856323,0.5,0.5,0.5,2.8477401733398438,1.086462140083313,1.086462140083313,0.3833082616329193,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,11,glare,far_right,-0.26162028312683105,-1.2598499059677124,1.523281216621399,-1.2848896980285645,0.06874169409275055,1.523281216621399,0.5,0.5,0.5,2.7858352661132812,1.0165725946426392,1.0165725946426392,0.39361703395843506,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,12,glare,far_right,-0.27527132630348206,-1.1820663213729858,1.5262935161590576,-1.2100523710250854,0.09396065771579742,1.5262935161590576,0.5,0.5,0.5,2.711808204650879,0.9349405169487,0.9349405169487,0.402495414018631,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,13,glare,far_right,-0.2927796244621277,-1.0924386978149414,1.5285266637802124,-1.1240875720977783,0.12477798759937286,1.5285266637802124,0.5,0.5,0.5,2.6272075176239014,0.8432332873344421,0.8432332873344421,0.40889617800712585,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,14,glare,far_right,-0.30985748767852783,-1.013609766960144,1.529625415802002,-1.048733115196228,0.153542160987854,1.529625415802002,0.5,0.5,0.5,2.553525686264038,0.764148473739624,0.764148473739624,0.41565513610839844,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,15,glare,far_right,-0.3332594335079193,-0.9164170622825623,1.530076503753662,-0.9561780691146851,0.1913260668516159,1.530076503753662,0.5,0.5,0.5,2.4638020992279053,0.6684207916259766,0.6684207916259766,0.42706742882728577,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,16,glare,far_right,-0.3603125512599945,-0.8152104020118713,1.5295732021331787,-0.8602051734924316,0.23332439363002777,1.5295732021331787,0.5,0.5,0.5,2.371894359588623,0.5704858303070068,0.5704858303070068,0.4438920319080353,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,17,glare,far_right,-0.38855400681495667,-0.7197575569152832,1.528315544128418,-0.7700994610786438,0.27563029527664185,1.528315544128418,0.5,0.5,0.5,2.2869467735290527,0.47953084111213684,0.47953084111213684,0.4662645161151886,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,18,glare,far_right,-0.41701048612594604,-0.6311001777648926,1.5267674922943115,-0.686743974685669,0.31712445616722107,1.5267674922943115,0.5,0.5,0.5,2.2097814083099365,0.39611589908599854,0.39611589908599854,0.49509191513061523,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,19,glare,far_right,-0.4467525780200958,-0.5445635318756104,1.5247832536697388,-0.6056787371635437,0.3595699369907379,1.5247832536697388,0.5,0.5,0.5,2.1363022327423096,0.31555262207984924,0.31555262207984924,0.534221351146698,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,20,glare,far_right,-0.47802427411079407,-0.4587298631668091,1.522445797920227,-0.5255390405654907,0.4034216105937958,1.522445797920227,0.5,0.5,0.5,2.0654444694519043,0.23645254969596863,0.23645254969596863,0.5886673331260681,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,21,glare,far_right,-0.5140790343284607,-0.36470675468444824,1.5196956396102905,-0.4380244314670563,0.45323601365089417,1.5196956396102905,0.5,0.5,0.5,1.9904143810272217,0.15053759515285492,0.15053759515285492,0.6748270392417908,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,22,glare,far_right,-0.5479530692100525,-0.27756139636039734,1.517122507095337,-0.35698023438453674,0.499858021736145,1.517122507095337,0.5,0.5,0.5,1.923155426979065,0.07108823210000992,0.07108823210000992,0.75633704662323,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
0,23,glare,far_right,-0.5822981595993042,-0.18619757890701294,1.5145338773727417,-0.2718368172645569,0.5475814342498779,1.5145338773727417,0.5,0.5,0.5,1.8545788526535034,0.0009999952744692564,0.0009999952744692564,0.75633704662323,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,collision_after_run
1,0,glare,far_left,-0.03805326297879219,-1.4995172023773193,1.5,-1.4999998807907104,0.0,1.5,0.5,0.5,0.5,3.0,1.279999852180481,1.279999852180481,0.357185423374176,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
1,1,glare,far_left,-0.03805326297879219,-1.4995172023773193,1.5,-1.4999998807907104,0.0,1.5,0.5,0.5,0.5,3.0,1.2798893451690674,1.2798893451690674,0.357185423374176,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
1,2,glare,far_left,-0.03816606104373932,-1.4991730451583862,1.500091791152954,-1.4996587038040161,0.0001214928925037384,1.500091791152954,0.5,0.5,0.5,2.9996588230133057,1.2791383266448975,1.2791383266448975,0.35727959871292114,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
1,3,glare,far_left,-0.0386243611574173,-1.4982243776321411,1.4998997449874878,-1.4987220764160156,0.0006037130951881409,1.4998997449874878,0.5,0.5,0.5,2.9987220764160156,1.2769516706466675,1.2769516706466675,0.35823217034339905,fixed,Fixed camera,checkpoint/2026-05-09-22-32-06/checkpoint0014.pth,
