scene_name,success_rate,collision_rate,goal_reach_rate,final_goal_dist,avg_speed,fill_rate,slit_slot,power_mean,exposure_mean,gain_mean,steps,stop_reason,episode_idx,method,method_label,checkpoint
glare,0.0,1.0,0.0,1.838207483291626,0.694456160068512,0.5746643543243408,far_right,0.3676203489303589,0.28489530086517334,0.3353572487831116,26,collision,0,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,0.0,1.0,0.0,1.797608733177185,0.6419394016265869,0.529405415058136,far_left,0.305217444896698,0.4616023004055023,0.46332868933677673,25,collision,1,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7881962060928345,0.6721466779708862,0.5562910437583923,far_left,0.3648911416530609,0.6027846336364746,0.253884494304657,25,collision,2,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.10963685065507889,0.6767511367797852,0.7894893288612366,far_right,0.2720680236816406,0.18501785397529602,0.06978359073400497,60,timeout,3,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1178412139415741,0.6369900703430176,0.7966869473457336,far_right,0.43558505177497864,0.5782655477523804,0.5673784017562866,60,timeout,4,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,0.0,1.0,0.0,1.7889697551727295,0.6580220460891724,0.5245886445045471,far_left,0.864450216293335,0.7220797538757324,0.5033425688743591,24,collision,5,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.2384866625070572,0.6599453091621399,0.7777730226516724,right,0.4330480694770813,0.13487309217453003,0.26833224296569824,60,timeout,6,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.06685241311788559,0.5860881209373474,0.7701533436775208,far_right,0.26509320735931396,0.7924373745918274,0.45546627044677734,60,timeout,7,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.22401253879070282,0.6229985952377319,0.7546947002410889,far_right,0.7600653767585754,0.4338107705116272,0.5748018026351929,60,timeout,8,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.07405167073011398,0.5900377035140991,0.8017120361328125,right,0.7402439117431641,0.5749706625938416,0.3324388563632965,60,timeout,9,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,0.0,1.0,0.0,1.6504790782928467,0.7329986095428467,0.49024757742881775,left,0.2500242590904236,0.5632502436637878,0.5169064998626709,23,collision,10,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,0.0,1.0,0.0,1.8391666412353516,0.6482065320014954,0.5383680462837219,far_right,0.48737838864326477,0.48176565766334534,0.7776105999946594,26,collision,11,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.19726286828517914,0.6841020584106445,0.6822241544723511,far_right,0.12050867825746536,0.18518340587615967,0.6686765551567078,60,timeout,12,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.1782577633857727,0.6248776316642761,0.7643711566925049,far_right,0.88104647397995,0.5885173082351685,0.4568636119365692,60,timeout,13,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
glare,1.0,0.0,1.0,0.17590129375457764,0.5933958888053894,0.7559583187103271,right,0.17697127163410187,0.46501225233078003,0.37614378333091736,60,timeout,14,randfix,Random static camera,checkpoint/2026-05-09-22-35-26/checkpoint0014.pth
