scene,slot,step,setting,power,exposure,gain,policy_power,policy_exposure,policy_gain,ctl_dt,goal_dist,clearance,collided,x,y,z,local_x,local_y,local_z,look_target_x,look_target_y,look_target_z,look_target_local_x,look_target_local_y,look_target_local_z,geometry_kind,wall_x,back_wall_x,slit_center_y,slit_half_y,wall_half_z,goal_local_x,goal_local_y,camera_forward_x,camera_forward_y,camera_forward_z,fill_rate,quality_mean,invalid_rate,scene_effect_mean,scene_mask_mean,slit_cue_mask_mean,key_cue_artifact_mean,front_wall_hit_mean,back_wall_hit_mean,scene_mask_on_back_wall_mean,glare_invalid_rate,glare_quality_mean,local_mask_area,local_fill,local_depth_mean,local_depth_std,local_quality_mean,local_front_fill,local_front_area,slit_neighbor_front_band_fill,slit_neighbor_front_band_area,slit_neighbor_front_masked_fill,slit_neighbor_front_unmasked_fill,far_slit_fill,far_slit_clean_depth_fill,far_slit_area,far_slit_center_fill,far_slit_center_clean_depth_fill,far_slit_center_area,far_slit_edge_fill,far_slit_edge_clean_depth_fill,far_slit_edge_area,slit_adjacent_front_fill,slit_adjacent_front_area,slit_adjacent_front_quality_mean,clean_slit_shortcut,visible_slit_body_shortcut,whole_slit_black_flag,clean_slit_edge_shortcut,visible_slit_edge_shortcut,valid_separator_band_shortcut,local_edge_area,local_edge_fill,local_edge_quality_mean,panel,method,method_label,column_idx,reference_step,source_step,reference_local_x,source_policy_power,source_policy_exposure,source_policy_gain,scene_name
glare,far_right,13,fixed,0.5,0.5,0.5,0.8294504880905151,0.049003247171640396,0.059176005423069,0.06741311703037882,2.7272756099700928,0.9517876505851746,0.0,-1.2254167795181274,0.09848058968782425,1.5209141969680786,-1.2254167795181274,0.09848058968782425,1.5209141969680786,0.02363431453704834,0.09377336502075195,1.4724440574645996,0.02363431453704834,0.09377336502075195,1.4724440574645996,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9992408752441406,-0.003765776753425598,-0.03877607733011246,0.6041666865348816,0.5527987480163574,0.3958333432674408,0.436536967754364,0.32735103368759155,0.324517160654068,0.29855573177337646,0.7223873734474182,0.015962544828653336,0.015650305896997452,0.9440624117851257,0.03693540766835213,0.5208333333333334,0.24,1.1257970333099365,0.015579449944198132,0.15849097073078156,0.3074733096085409,0.40653935185185186,0.0,0.10850694444444445,0.0,0.0,0.0,0.0,0.11429398148148148,0.0,0.0,0.09259259259259259,0.0,0.0,0.021701388888888888,0.0,0.021701388888888888,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04600694444444445,0.0,0.0,same_pose,fixed,Fixed,0,13,12,-1.2254167795181274,0.5,0.5,0.5,glare
glare,far_right,13,randfix,0.7201593518257141,0.36766287684440613,0.29706576466560364,0.8294504880905151,0.049003247171640396,0.059176005423069,0.06741311703037882,2.7272756099700928,0.9517876505851746,0.0,-1.2254167795181274,0.09848058968782425,1.5209141969680786,-1.2254167795181274,0.09848058968782425,1.5209141969680786,0.02363431453704834,0.09377336502075195,1.4724440574645996,0.02363431453704834,0.09377336502075195,1.4724440574645996,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9992408752441406,-0.003765776753425598,-0.03877607733011246,0.6047453880310059,0.5596266388893127,0.39525464177131653,0.42623281478881836,0.32735103368759155,0.324517160654068,0.29855573177337646,0.7223873734474182,0.015962544828653336,0.015650305896997452,0.9436052441596985,0.039438504725694656,0.5208333333333334,0.2411111111111111,1.1259195804595947,0.015647705644369125,0.16894951462745667,0.3088967971530249,0.40653935185185186,0.0,0.10850694444444445,0.0,0.0,0.0,0.0,0.11429398148148148,0.0,0.0,0.09259259259259259,0.0,0.0,0.021701388888888888,0.0,0.021701388888888888,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04600694444444445,0.0,0.0,same_pose,randfix,Random fixed,0,13,12,-1.2254167795181274,0.7201593518257141,0.36766287684440613,0.29706576466560364,glare
glare,far_right,13,flightonly,0.8294504880905151,0.049003247171640396,0.059176005423069,0.8294504880905151,0.049003247171640396,0.059176005423069,0.06741311703037882,2.7272756099700928,0.9517876505851746,0.0,-1.2254167795181274,0.09848058968782425,1.5209141969680786,-1.2254167795181274,0.09848058968782425,1.5209141969680786,0.02363431453704834,0.09377336502075195,1.4724440574645996,0.02363431453704834,0.09377336502075195,1.4724440574645996,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9992408752441406,-0.003765776753425598,-0.03877607733011246,0.9950810074806213,0.842458963394165,0.004918981343507767,0.03729407489299774,0.32735103368759155,0.324517160654068,0.012464119121432304,0.7223873734474182,0.015962544828653336,0.015650305896997452,0.01442599855363369,0.7351608872413635,0.5208333333333334,0.9905555555555555,1.6769009828567505,1.0440336465835571,0.7915768623352051,1.0,0.40653935185185186,1.0,0.10850694444444445,1.0,0.0,0.9569620253164557,0.8860759493670886,0.11429398148148148,1.0,0.9125,0.09259259259259259,0.7733333333333333,0.7733333333333333,0.021701388888888888,1.0,0.021701388888888888,0.6477599143981934,0.0,0.0,0.0,0.0,0.0,0.9569620253164557,0.04600694444444445,0.8930817610062893,0.49035903811454773,same_pose,flightonly,Ours,0,13,13,-1.2254167795181274,0.8294504880905151,0.049003247171640396,0.059176005423069,glare
glare,far_right,20,fixed,0.5,0.5,0.5,0.7741261124610901,0.03068801760673523,0.05892755836248398,0.07245372545516067,2.2639365196228027,0.4499940872192383,0.0,-0.7421926259994507,0.3123583495616913,1.520306944847107,-0.7421926259994507,0.3123583495616913,1.520306944847107,0.5055947303771973,0.248759925365448,1.5588078498840332,0.5055947303771973,0.248759925365448,1.5588078498840332,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9982298612594604,-0.05087874084711075,0.030800703912973404,0.386284738779068,0.3429296612739563,0.6137152910232544,0.6483387351036072,0.5116758346557617,0.5087503790855408,0.46805036067962646,0.6533046364784241,0.027162060141563416,0.02649156004190445,0.9685879945755005,0.021661527454853058,0.7268518518518519,0.15565286624203822,0.6526086330413818,0.007420877926051617,0.10690592229366302,0.21819196428571427,0.5185185185185185,0.0,0.009403935185185185,0.0,0.0,0.0,0.0,0.004050925925925926,0.0,0.0,0.003616898148148148,0.0,0.0,0.00043402777777777775,0.0,0.0007233796296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04716435185185185,0.0,0.0,same_pose,fixed,Fixed,1,20,18,-0.7421926259994507,0.5,0.5,0.5,glare
glare,far_right,20,randfix,0.7201593518257141,0.36766287684440613,0.29706576466560364,0.7741261124610901,0.03068801760673523,0.05892755836248398,0.07245372545516067,2.2639365196228027,0.4499940872192383,0.0,-0.7421926259994507,0.3123583495616913,1.520306944847107,-0.7421926259994507,0.3123583495616913,1.520306944847107,0.5055947303771973,0.248759925365448,1.5588078498840332,0.5055947303771973,0.248759925365448,1.5588078498840332,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9982298612594604,-0.05087874084711075,0.030800703912973404,0.3967013955116272,0.35287436842918396,0.6032986044883728,0.6391482353210449,0.5116758346557617,0.5087503790855408,0.46805036067962646,0.6533046364784241,0.027162060141563416,0.02649156004190445,0.9635089039802551,0.025051528587937355,0.7268518518518519,0.16998407643312102,0.6523269414901733,0.0074611264280974865,0.11906718462705612,0.23828125,0.5185185185185185,0.0,0.009403935185185185,0.0,0.0,0.0,0.0,0.004050925925925926,0.0,0.0,0.003616898148148148,0.0,0.0,0.00043402777777777775,0.0,0.0007233796296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04716435185185185,0.0,0.0,same_pose,randfix,Random fixed,1,20,18,-0.7421926259994507,0.7201593518257141,0.36766287684440613,0.29706576466560364,glare
glare,far_right,20,flightonly,0.7741261124610901,0.03068801760673523,0.05892755836248398,0.7741261124610901,0.03068801760673523,0.05892755836248398,0.07245372545516067,2.2639365196228027,0.4499940872192383,0.0,-0.7421926259994507,0.3123583495616913,1.520306944847107,-0.7421926259994507,0.3123583495616913,1.520306944847107,0.5055947303771973,0.248759925365448,1.5588078498840332,0.5055947303771973,0.248759925365448,1.5588078498840332,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9982298612594604,-0.05087874084711075,0.030800703912973404,0.9878472089767456,0.8678513169288635,0.01215277798473835,0.052404407411813736,0.5116758346557617,0.5087503790855408,0.018735595047473907,0.6533046364784241,0.027162060141563416,0.02649156004190445,0.022079506888985634,0.7888042330741882,0.7268518518518519,0.98328025477707,1.3385064601898193,1.1287204027175903,0.836702287197113,1.0,0.5185185185185185,1.0,0.009403935185185185,1.0,0.0,0.6428571428571429,0.6428571428571429,0.004050925925925926,0.72,0.72,0.003616898148148148,0.0,0.0,0.00043402777777777775,1.0,0.0007233796296296296,0.790614902973175,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.04716435185185185,0.7423312883435583,0.4765525758266449,same_pose,flightonly,Ours,1,20,20,-0.7421926259994507,0.7741261124610901,0.03068801760673523,0.05892755836248398,glare
glare,far_right,25,fixed,0.5,0.5,0.5,0.770391047000885,0.027560537680983543,0.058210935443639755,0.07198975332620884,1.9279969930648804,0.09762471914291382,0.0,-0.3736284673213959,0.45447754859924316,1.5117930173873901,-0.3736284673213959,0.45447754859924316,1.5117930173873901,0.8681322336196899,0.3184577524662018,1.5568381547927856,0.8681322336196899,0.3184577524662018,1.5568381547927856,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9934086203575134,-0.10881584137678146,0.03603607788681984,0.0447048619389534,0.022232558578252792,0.9552951455116272,0.9561241865158081,0.7645468711853027,0.7639957666397095,0.7028761506080627,0.506193995475769,0.054170913994312286,0.04999704286456108,0.9885467290878296,0.005618589464575052,1.0,0.04470486111111111,0.3017364740371704,0.005307947751134634,0.022232558578252792,0.075439453125,0.5925925925925926,0.0,0.1099537037037037,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.3854166666666667,0.0,0.0,0.02199074074074074,0.0,0.02199074074074074,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08608217592592593,0.0,0.0,same_pose,fixed,Fixed,2,25,22,-0.3736284673213959,0.5,0.5,0.5,glare
glare,far_right,25,randfix,0.7201593518257141,0.36766287684440613,0.29706576466560364,0.770391047000885,0.027560537680983543,0.058210935443639755,0.07198975332620884,1.9279969930648804,0.09762471914291382,0.0,-0.3736284673213959,0.45447754859924316,1.5117930173873901,-0.3736284673213959,0.45447754859924316,1.5117930173873901,0.8681322336196899,0.3184577524662018,1.5568381547927856,0.8681322336196899,0.3184577524662018,1.5568381547927856,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9934086203575134,-0.10881584137678146,0.03603607788681984,0.06611689925193787,0.034402187913656235,0.9338831305503845,0.9449496269226074,0.7645468711853027,0.7639957666397095,0.7028761506080627,0.506193995475769,0.054170913994312286,0.04999704286456108,0.9814857840538025,0.009449233300983906,1.0,0.06611689814814815,0.3008173108100891,0.005211687181144953,0.034402187913656235,0.111572265625,0.5925925925925926,0.0,0.1099537037037037,0.0,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.3854166666666667,0.0,0.0,0.02199074074074074,0.0,0.02199074074074074,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08608217592592593,0.0,0.0,same_pose,randfix,Random fixed,2,25,22,-0.3736284673213959,0.7201593518257141,0.36766287684440613,0.29706576466560364,glare
glare,far_right,25,flightonly,0.770391047000885,0.027560537680983543,0.058210935443639755,0.770391047000885,0.027560537680983543,0.058210935443639755,0.07198975332620884,1.9279969930648804,0.09762471914291382,0.0,-0.3736284673213959,0.45447754859924316,1.5117930173873901,-0.3736284673213959,0.45447754859924316,1.5117930173873901,0.8681322336196899,0.3184577524662018,1.5568381547927856,0.8681322336196899,0.3184577524662018,1.5568381547927856,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9934086203575134,-0.10881584137678146,0.03603607788681984,0.9998553395271301,0.8230208158493042,0.00014467592700384557,0.07654083520174026,0.7645468711853027,0.7639957666397095,0.02769794687628746,0.506193995475769,0.054170913994312286,0.04999704286456108,0.00011373021698091179,0.7885516285896301,1.0,0.9998553240740741,1.2963080406188965,1.185362458229065,0.8230208158493042,1.0,0.5925925925925926,1.0,0.1099537037037037,1.0,0.0,0.9996448863636364,0.9996448863636364,0.4074074074074074,1.0,1.0,0.3854166666666667,0.993421052631579,0.993421052631579,0.02199074074074074,1.0,0.02199074074074074,0.8923713564872742,0.0,0.0,0.0,0.0,0.0,0.9996448863636364,0.08608217592592593,0.9983193277310924,0.8184057474136353,same_pose,flightonly,Ours,2,25,25,-0.3736284673213959,0.770391047000885,0.027560537680983543,0.058210935443639755,glare
glare,far_right,26,fixed,0.5,0.5,0.5,0.7667639851570129,0.027678608894348145,0.05966245010495186,0.06704546604779374,1.8558566570281982,0.03898702561855316,0.0,-0.29362180829048157,0.47647592425346375,1.5097792148590088,-0.29362180829048157,0.47647592425346375,1.5097792148590088,0.9461144208908081,0.32284170389175415,1.553946614265442,0.9461144208908081,0.32284170389175415,1.553946614265442,single_wall_slit,0.0,2.5210158824920654,0.5400000214576721,0.15000000596046448,1.0,1.5,0.0,0.9917889833450317,-0.12290738523006439,0.035333964973688126,0.01215277798473835,0.005914604291319847,0.9878472089767456,0.971652626991272,0.7833361029624939,0.7818865180015564,0.7193356156349182,0.43914106488227844,0.06552058458328247,0.05877184495329857,0.995783269405365,0.0020291456021368504,1.0,0.012152777777777778,0.21966291964054108,0.0035682031884789467,0.005914604291319847,0.023958927552766685,0.5072337962962963,0.0,0.10923032407407407,0.0,0.0,0.0,0.0,0.4927662037037037,0.0,0.0,0.4704861111111111,0.0,0.0,0.02228009259259259,0.0,0.02228009259259259,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07667824074074074,0.0,0.0,same_pose,fixed,Fixed,3,26,25,-0.29362180829048157,0.5,0.5,0.5,glare
