scene_name,method,method_label,slot,step,local_x,local_y
dark,fixed,Fixed,far_right,0,-1.5,0.0
dark,fixed,Fixed,far_right,1,-1.5,0.0
dark,fixed,Fixed,far_right,2,-1.5002371072769165,0.00034440800664015114
dark,fixed,Fixed,far_right,3,-1.500511646270752,0.0007972774910740554
dark,fixed,Fixed,far_right,4,-1.4994984865188599,0.0019452560227364302
dark,fixed,Fixed,far_right,5,-1.493346095085144,0.0050545334815979
dark,fixed,Fixed,far_right,6,-1.47963547706604,0.011248004622757435
dark,fixed,Fixed,far_right,7,-1.458368182182312,0.020190108567476273
dark,fixed,Fixed,far_right,8,-1.4296585321426392,0.03195926547050476
dark,fixed,Fixed,far_right,9,-1.3931832313537598,0.0467112697660923
dark,fixed,Fixed,far_right,10,-1.34302818775177,0.06641728430986404
dark,fixed,Fixed,far_right,11,-1.287817120552063,0.0878882184624672
dark,fixed,Fixed,far_right,12,-1.2242549657821655,0.11255152523517609
dark,fixed,Fixed,far_right,13,-1.1529483795166016,0.13984885811805725
dark,fixed,Fixed,far_right,14,-1.0746452808380127,0.16970449686050415
dark,fixed,Fixed,far_right,15,-0.9896423816680908,0.2021239697933197
dark,fixed,Fixed,far_right,16,-0.9004231095314026,0.23603399097919464
dark,fixed,Fixed,far_right,17,-0.8187183737754822,0.2670571208000183
dark,fixed,Fixed,far_right,18,-0.727196455001831,0.30197674036026
dark,fixed,Fixed,far_right,19,-0.6271714568138123,0.3400888442993164
dark,fixed,Fixed,far_right,20,-0.5361389517784119,0.3742527365684509
dark,fixed,Fixed,far_right,21,-0.43027961254119873,0.41270482540130615
dark,fixed,Fixed,far_right,22,-0.3350849151611328,0.44527173042297363
dark,fixed,Fixed,far_right,23,-0.23492179811000824,0.47621944546699524
dark,flightonly,Ours,far_right,0,-1.5,0.0
dark,flightonly,Ours,far_right,1,-1.5,0.0
dark,flightonly,Ours,far_right,2,-1.5002474784851074,0.0003593078872654587
dark,flightonly,Ours,far_right,3,-1.5005420446395874,0.000847411050926894
dark,flightonly,Ours,far_right,4,-1.4993269443511963,0.002098205965012312
dark,flightonly,Ours,far_right,5,-1.4921931028366089,0.0054743848741054535
dark,flightonly,Ours,far_right,6,-1.4763600826263428,0.012234638445079327
dark,flightonly,Ours,far_right,7,-1.4516397714614868,0.021994568407535553
dark,flightonly,Ours,far_right,8,-1.4181424379348755,0.03471601381897926
dark,flightonly,Ours,far_right,9,-1.3754935264587402,0.0504751056432724
dark,flightonly,Ours,far_right,10,-1.317306399345398,0.07112573832273483
dark,flightonly,Ours,far_right,11,-1.2530570030212402,0.09348814934492111
dark,flightonly,Ours,far_right,12,-1.179432988166809,0.11894483864307404
dark,flightonly,Ours,far_right,13,-1.0974736213684082,0.14691787958145142
dark,flightonly,Ours,far_right,14,-1.0084264278411865,0.1775529533624649
dark,flightonly,Ours,far_right,15,-0.9131377935409546,0.21124988794326782
dark,flightonly,Ours,far_right,16,-0.8147162795066833,0.24733951687812805
dark,flightonly,Ours,far_right,17,-0.7252433896064758,0.2816990613937378
dark,flightonly,Ours,far_right,18,-0.6271842122077942,0.32139328122138977
dark,flightonly,Ours,far_right,19,-0.5221419930458069,0.3656691312789917
dark,flightonly,Ours,far_right,20,-0.42709261178970337,0.4059504270553589
dark,flightonly,Ours,far_right,21,-0.31912916898727417,0.44997668266296387
dark,flightonly,Ours,far_right,22,-0.22259053587913513,0.48549604415893555
dark,flightonly,Ours,far_right,23,-0.12270791828632355,0.5159727334976196
dark,flightonly,Ours,far_right,24,-0.029055535793304443,0.5365955829620361
dark,flightonly,Ours,far_right,25,0.06121445447206497,0.547341525554657
dark,flightonly,Ours,far_right,26,0.1599053591489792,0.5473458170890808
dark,flightonly,Ours,far_right,27,0.2551127076148987,0.5355581045150757
dark,flightonly,Ours,far_right,28,0.336248517036438,0.516589879989624
dark,flightonly,Ours,far_right,29,0.4159550070762634,0.4900668263435364
dark,flightonly,Ours,far_right,30,0.4959776699542999,0.45608118176460266
dark,flightonly,Ours,far_right,31,0.5692728161811829,0.4199945330619812
dark,flightonly,Ours,far_right,32,0.6392380595207214,0.3821198642253876
dark,flightonly,Ours,far_right,33,0.702752411365509,0.345481276512146
dark,flightonly,Ours,far_right,34,0.7574799060821533,0.31270545721054077
dark,flightonly,Ours,far_right,35,0.8140375018119812,0.2780502736568451
dark,flightonly,Ours,far_right,36,0.8617209792137146,0.24856825172901154
dark,flightonly,Ours,far_right,37,0.9114417433738708,0.21824699640274048
dark,flightonly,Ours,far_right,38,0.9524876475334167,0.19436807930469513
dark,flightonly,Ours,far_right,39,0.9887591004371643,0.17462894320487976
dark,flightonly,Ours,far_right,40,1.0218329429626465,0.1580844223499298
dark,flightonly,Ours,far_right,41,1.053589940071106,0.14397694170475006
dark,flightonly,Ours,far_right,42,1.0880337953567505,0.13077779114246368
dark,flightonly,Ours,far_right,43,1.118882656097412,0.12080145627260208
dark,flightonly,Ours,far_right,44,1.1471256017684937,0.11326434463262558
dark,flightonly,Ours,far_right,45,1.17123544216156,0.10812804847955704
dark,flightonly,Ours,far_right,46,1.1937766075134277,0.10416119545698166
dark,flightonly,Ours,far_right,47,1.2174943685531616,0.1008150726556778
dark,flightonly,Ours,far_right,48,1.24005126953125,0.09815246611833572
dark,flightonly,Ours,far_right,49,1.2628592252731323,0.09581261873245239
dark,flightonly,Ours,far_right,50,1.281671404838562,0.09421990811824799
dark,flightonly,Ours,far_right,51,1.3009395599365234,0.093237966299057
dark,flightonly,Ours,far_right,52,1.3187012672424316,0.09282124787569046
dark,flightonly,Ours,far_right,53,1.3368189334869385,0.09270158410072327
dark,flightonly,Ours,far_right,54,1.3536332845687866,0.09295327216386795
dark,flightonly,Ours,far_right,55,1.3701690435409546,0.09325756132602692
dark,flightonly,Ours,far_right,56,1.3863996267318726,0.09351775795221329
dark,flightonly,Ours,far_right,57,1.4042998552322388,0.09367535263299942
dark,flightonly,Ours,far_right,58,1.4209704399108887,0.09411176294088364
dark,flightonly,Ours,far_right,59,1.438960075378418,0.0945778414607048
dark,randfix,Random fixed,far_right,0,-1.5,0.0
dark,randfix,Random fixed,far_right,1,-1.5,0.0
dark,randfix,Random fixed,far_right,2,-1.4999308586120605,1.2000023161817808e-05
dark,randfix,Random fixed,far_right,3,-1.500015139579773,0.0004896668833680451
dark,randfix,Random fixed,far_right,4,-1.498325228691101,0.0018684051465243101
dark,randfix,Random fixed,far_right,5,-1.4908517599105835,0.005739424377679825
dark,randfix,Random fixed,far_right,6,-1.4747086763381958,0.012838474474847317
