scene_name,glare_level,success_rate,collision_rate,avg_speed,max_speed,fill_rate,fill_rate_soft,hole_rate,hole_rate_soft,time_to_goal,stop_before_glare_rate,local_glare_quality,local_glare_invalid_rate,collided,power_mean,power_std,power_min,power_max,exposure_mean,exposure_std,exposure_min,exposure_max,gain_mean,gain_std,gain_min,gain_max,energy_proxy,blur_proxy,noise_proxy,method_key,method_label,condition,episode_idx,checkpoint
base,,0.0,1.0,0.4289412498474121,0.8983681201934814,0.43420863151550293,0.4714721441268921,0.5657913684844971,0.5285278558731079,8.0,0.0,0.0,0.0,1.0,0.41965726017951965,0.004450194071978331,0.41476932168006897,0.4273027777671814,0.4447556734085083,0.04053838551044464,0.38140082359313965,0.49750977754592896,0.1417776197195053,0.05509599670767784,0.1062801256775856,0.36465758085250854,0.17613202333450317,0.5280143022537231,0.023136461153626442,ours,Ours,base,0,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.4000000059604645,0.6000000238418579,0.46718621253967285,0.9563848376274109,0.4427490830421448,0.4796822965145111,0.5572509169578552,0.5203177034854889,8.0,0.0,0.0,0.0,1.0,0.41866621375083923,0.003532869042828679,0.414764940738678,0.42496415972709656,0.4473356008529663,0.04155097156763077,0.378273069858551,0.497802734375,0.14354662597179413,0.058130282908678055,0.10630997270345688,0.36468505859375,0.17529384791851044,0.6113418340682983,0.023984763771295547,ours,Ours,base,1,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.6000000238418579,0.4000000059604645,0.4194735586643219,0.9199679493904114,0.4385812282562256,0.4646304249763489,0.5614187717437744,0.5353695750236511,8.0,0.0,0.0,0.0,1.0,0.41954973340034485,0.004166398663073778,0.4150460362434387,0.4270913600921631,0.44701170921325684,0.039635464549064636,0.37920624017715454,0.4976562559604645,0.14121364057064056,0.05406519025564194,0.10704834759235382,0.3646301329135895,0.17603932321071625,0.5265212059020996,0.022864334285259247,ours,Ours,base,2,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.800000011920929,0.20000000298023224,0.4465826749801636,0.9394792318344116,0.4410286545753479,0.46807044744491577,0.5589713454246521,0.5319295525550842,8.0,0.0,0.0,0.0,1.0,0.4190886318683624,0.003570706117898226,0.414930522441864,0.4250912666320801,0.44503718614578247,0.04188595712184906,0.3764834403991699,0.4976562559604645,0.1434711366891861,0.056868478655815125,0.10633347183465958,0.3646301329135895,0.175648033618927,0.5729179978370667,0.023817991837859154,ours,Ours,base,3,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.800000011920929,0.20000000298023224,0.4374319016933441,0.9645087122917175,0.4540104269981384,0.47413164377212524,0.5459895730018616,0.5258683562278748,8.0,0.0,0.0,0.0,1.0,0.4187203645706177,0.004068754147738218,0.41446441411972046,0.42617297172546387,0.44859740138053894,0.04043690115213394,0.3780178129673004,0.497802734375,0.14309607446193695,0.05707387998700142,0.10594606399536133,0.3646301329135895,0.17534330487251282,0.5640925765037537,0.023733915761113167,ours,Ours,base,4,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.0,1.0,0.401719331741333,0.8836607336997986,0.4307538568973541,0.4660317897796631,0.5692461431026459,0.5339682102203369,8.0,0.0,0.0,0.0,1.0,0.41936612129211426,0.00430594477802515,0.41469815373420715,0.4274306893348694,0.44982168078422546,0.036842115223407745,0.3881043493747711,0.497802734375,0.1403891146183014,0.05338381975889206,0.10657522082328796,0.36465758085250854,0.17588648200035095,0.5067796111106873,0.02255893684923649,ours,Ours,base,5,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.5,0.5,0.44188937544822693,0.984799861907959,0.4415314793586731,0.47209954261779785,0.5584685206413269,0.5279004573822021,8.0,0.0,0.0,0.0,1.0,0.41911450028419495,0.004031036049127579,0.4148300588130951,0.4263785481452942,0.4467789828777313,0.04080488532781601,0.3787611722946167,0.49772948026657104,0.14287470281124115,0.05592849850654602,0.10648715496063232,0.3646301329135895,0.1756732016801834,0.5766603350639343,0.023541176691651344,ours,Ours,base,6,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.4000000059604645,0.6000000238418579,0.4623134434223175,0.9411015510559082,0.43020835518836975,0.4646678566932678,0.5697916448116302,0.5353321433067322,8.0,0.0,0.0,0.0,1.0,0.41955962777137756,0.003926675766706467,0.4158551096916199,0.4274194836616516,0.4464767873287201,0.04085109382867813,0.37676894664764404,0.4974365234375,0.14275731146335602,0.057146668434143066,0.10688528418540955,0.36468505859375,0.1760457307100296,0.6086129546165466,0.023645391687750816,ours,Ours,base,7,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.699999988079071,0.30000001192092896,0.42158594727516174,0.9376298189163208,0.4409877359867096,0.4544611871242523,0.5590122640132904,0.5455388128757477,8.0,0.0,0.0,0.0,1.0,0.41958969831466675,0.002921929582953453,0.4157305955886841,0.42353707551956177,0.4480603337287903,0.035335853695869446,0.3883429765701294,0.4976562559604645,0.14145395159721375,0.053859516978263855,0.10732769221067429,0.36465758085250854,0.17606405913829803,0.5323503017425537,0.022910067811608315,ours,Ours,base,8,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
base,,0.10000000149011612,0.9000000357627869,0.41932955384254456,0.9353187680244446,0.441929429769516,0.46158671379089355,0.558070570230484,0.5384132862091064,8.0,0.0,0.0,0.0,1.0,0.41935408115386963,0.002973471535369754,0.415252149105072,0.4233834147453308,0.4481101334095001,0.03512931987643242,0.38816431164741516,0.4975830018520355,0.14160582423210144,0.05380641669034958,0.10726746916770935,0.3646301329135895,0.17586669325828552,0.5254424810409546,0.022947337478399277,ours,Ours,base,9,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth
