episode_idx,step_idx,scene_name,glare_level,x,y,z,speed_mps,accel_norm_mps2,power,exposure,gain,fill_rate,fill_rate_soft,scene_effect_mean,glare_quality_mean,glare_invalid_rate,glare_level_id,zone_enter_x,dist_to_goal_m,collided,method_key,method_label,condition,checkpoint,t_entry,t_minus_entry
0,0,base,,-5.0,0.0,1.5,0.004005882423371077,0.10622382909059525,0.4178631901741028,0.49750977754592896,0.36465758085250854,0.3723958432674408,0.3742135465145111,0.0,0.0,0.0,-1.0,0.0,10.0,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,1,base,,-5.000025749206543,0.00015200243797153234,1.4994717836380005,0.011051713488996029,0.09407726675271988,0.418114572763443,0.4951806664466858,0.2706136703491211,0.3707682490348816,0.37261447310447693,0.0,0.0,0.0,-1.0,0.0,10.000025749206543,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,2,base,,-4.9999494552612305,0.0005261072656139731,1.497914433479309,0.017365822568535805,0.11303456127643585,0.4177778661251068,0.4928911328315735,0.206678107380867,0.3697916865348816,0.37163734436035156,0.0,0.0,0.0,-1.0,0.0,9.999950408935547,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,3,base,,-4.9991841316223145,0.0006050216616131365,1.4966777563095093,0.024226902052760124,0.20753560960292816,0.4172492027282715,0.4907025098800659,0.16406553983688354,0.3720703125,0.3740091919898987,0.0,0.0,0.0,-1.0,0.0,9.999183654785156,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,4,base,,-4.9970293045043945,0.00034840009175240993,1.4953269958496094,0.04096443951129913,0.26839882135391235,0.41673263907432556,0.48807185888290405,0.13694670796394348,0.3736979365348816,0.37539005279541016,0.0,0.0,0.0,-1.0,0.0,9.997030258178711,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,5,base,,-4.993628025054932,-4.610370160662569e-05,1.4940615892410278,0.06245262920856476,0.35722073912620544,0.4160780906677246,0.4853515028953552,0.1206185519695282,0.3766276240348816,0.37819838523864746,0.0,0.0,0.0,-1.0,0.0,9.993629455566406,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,6,base,,-4.9874372482299805,-0.0007478052284568548,1.4926631450653076,0.0923735499382019,0.38380053639411926,0.4155466556549072,0.4824950695037842,0.11145935207605362,0.3795573115348816,0.38106489181518555,0.0,0.0,0.0,-1.0,0.0,9.98744010925293,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,7,base,,-4.9780402183532715,-0.0018084918847307563,1.4912266731262207,0.12868081033229828,0.45258617401123047,0.41510140895843506,0.4793969392776489,0.10728180408477783,0.3831380307674408,0.3846067786216736,0.0,0.0,0.0,-1.0,0.0,9.978044509887695,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,8,base,,-4.965495586395264,-0.00303167593665421,1.4897030591964722,0.16815677285194397,0.4768997132778168,0.4148629605770111,0.47590988874435425,0.1062801256775856,0.3889974057674408,0.39043721556663513,0.0,0.0,0.0,-1.0,0.0,9.96550178527832,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
0,9,base,,-4.950600624084473,-0.003994866274297237,1.4881987571716309,0.20912232995033264,0.5626813173294067,0.41476932168006897,0.4724435806274414,0.10724520683288574,0.3951823115348816,0.39659661054611206,0.0,0.0,0.0,-1.0,0.0,9.950608253479004,0.0,ours,Ours,base,/home/zhaoguodong/work/code/DiffPhysDrone/checkpoint/2026-04-22-10-25-45/checkpoint0017.pth,-1,nan
