source,method,scene,phase,n,power,exposure,gain,teacher_power,teacher_exposure,teacher_gain,mae_power,mae_exposure,mae_gain
online_eval,randfix,dark,before,7040,0.5387751123053022,0.5060050568236462,0.4539404200815956,,,,,,
online_eval,randfix,dark,near,1185,0.5474468600523623,0.48675254005545804,0.4491654643733919,,,,,,
online_eval,randfix,glare,after,5724,0.5292660281202703,0.5385067964247333,0.47615941608998896,,,,,,
online_eval,randfix,glare,before,7109,0.5228264228553355,0.5029895094210612,0.46132162533897497,,,,,,
online_eval,randfix,glare,near,1118,0.5245470834932622,0.5027744964644819,0.45631054273518284,,,,,,
online_eval,randfix,specular,after,5940,0.52469712299254,0.5086559404929479,0.45855897135267454,,,,,,
online_eval,randfix,specular,before,7084,0.5267408378769337,0.48714976041419467,0.4557218777942921,,,,,,
online_eval,randfix,specular,near,1164,0.5229555306847358,0.4760687782323545,0.45498156972402304,,,,,,
online_eval,zero,dark,after,288,0.5,0.5,0.5,,,,,,
online_eval,zero,dark,before,6979,0.5,0.5,0.5,,,,,,
online_eval,zero,dark,near,197,0.5,0.5,0.5,,,,,,
online_eval,zero,glare,after,317,0.5,0.5,0.5,,,,,,
online_eval,zero,glare,before,7027,0.5,0.5,0.5,,,,,,
online_eval,zero,glare,near,178,0.5,0.5,0.5,,,,,,
online_eval,zero,specular,after,320,0.5,0.5,0.5,,,,,,
online_eval,zero,specular,before,7006,0.5,0.5,0.5,,,,,,
online_eval,zero,specular,near,188,0.5,0.5,0.5,,,,,,
